Auxis thazard,Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Auxis;thazard,
Luciogobius guttatus,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Luciogobius;guttatus,
Eutaeniichthys gilli,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Eutaeniichthys;gilli,
Brachygobius doriae,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Brachygobius;doriae,
Brachygobius kabiliensis,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Brachygobius;kabiliensis,
Pandaka lidwilli,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Pandaka;lidwilli,
Pandaka trimaculata,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Pandaka;trimaculata,
Laemonema longipes,Animalia;Chordata;Teleostei;Gadiformes;Moridae;Laemonema;longipes,
Tanakia limbata,Animalia;Chordata;Teleostei;Cypriniformes;Acheilognathidae;Tanakia;limbata,
Tanakia lanceolata,Animalia;Chordata;Teleostei;Cypriniformes;Acheilognathidae;Tanakia;lanceolata,
Acheilognathus rhombeus,Animalia;Chordata;Teleostei;Cypriniformes;Acheilognathidae;Acheilognathus;rhombeus,
Anoplopoma fimbria,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Anoplopomatidae;Anoplopoma;fimbria,
Carassius auratus,Animalia;Chordata;Teleostei;Cypriniformes;Cyprinidae;Carassius;auratus,
Trichiurus japonicus,Animalia;Chordata;Teleostei;Scombriformes;Trichiuridae;Trichiurus;japonicus,
Cobitis hankugensis,Animalia;Chordata;Teleostei;Cypriniformes;Cobitidae;Cobitis;hankugensis,
Scomber scombrus,Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Scomber;scombrus,
Abudefduf vaigiensis,Animalia;Chordata;Teleostei;Ovalentaria/misc;Pomacentridae;Abudefduf;vaigiensis,
Choerodon azurio,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Choerodon;azurio,
Halichoeres tenuispinis,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Halichoeres;tenuispinis,
Ophthalmolepis lineolata,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Ophthalmolepis;lineolata,
Suezichthys gracilis,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Suezichthys;gracilis,
Notolabrus gymnogenis,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Notolabrus;gymnogenis,
Notolabrus parilus,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Notolabrus;parilus,
Notolabrus tetricus,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Notolabrus;tetricus,
Pseudolabrus biserialis,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Pseudolabrus;biserialis,
Pseudolabrus eoethinus,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Pseudolabrus;eoethinus,
Pseudolabrus fuentesi,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Pseudolabrus;fuentesi,
